"open_issues_count,past_due_actions_count,open_risks_count,open_ranked_risks_count,active_changes_count"
"0.0013413975,0.023522748,0.017331397,0.027387828,0.039894428"
"0.01564915,0.0085765645,0.004066517,0.005033198,0.0036434364"
"0.007946083,0.008736818,0.002615842,0.0031138994,0.0005986311"
"2.8353074e-06,0.00089160993,0.007595065,0.01709721,7.785203e-05"
"0.00028092277,0.019892309,0.00869557,0.015260469,0.0073324596"
"0.00035976325,0.012794443,0.014323229,0.017629491,0.014056613"
"0.0025424373,0.024066584,0.018451873,0.028173346,0.036591772"
"2.3725676e-07,0.00028175348,0.004697692,0.01328984,4.982909e-06"
"0.00012648423,0.006231941,0.008909817,0.013563003,0.008065611"
"0.011307777,0.0330821,0.034227863,0.059096053,0.16069354"
"1.264283e-06,0.0009635611,0.0025980414,0.0051487773,0.0003211052"
"0.00047943706,0.026893351,0.01788857,0.023432482,0.019924957"
"4.3461917e-10,1.9702275e-05,0.00017483316,0.0007205579,4.9608832e-05"
"0.008996854,0.03850341,0.03460456,0.063791975,0.19810662"
"3.6016815e-11,7.558362e-06,0.00013047845,0.00044357157,3.2322855e-06"
"7.2904954e-06,0.002725912,0.0016266194,0.0036087069,7.978668e-05"
"2.277105e-06,0.0009664937,0.0030877686,0.006212773,0.0022825021"
"0.024150968,0.019012753,0.020324009,0.031671714,0.08341533"
"0.011786638,0.010590002,0.0062898905,0.0076735066,0.0060371957"
"1.7069102e-08,0.00012174988,0.0006545566,0.0018247633,0.000212578"
"5.6083314e-05,0.0086819045,0.010983854,0.018486414,0.023845965"
"0.012262095,0.027658232,0.024909085,0.0419112,0.1054562"
"0.0035462184,0.013591089,0.0036670016,0.0051236977,0.0007144501"
"1.6303147e-08,9.8312725e-05,0.0014752588,0.004203998,0.00011721662"
"0.00012410733,0.00950942,0.010586889,0.0142639475,0.012296582"
"0.021878397,0.036654342,0.041605968,0.07124203,0.23798443"
"0.0015259696,0.021582268,0.011334639,0.019844154,0.021022713"
"0.00014318926,0.01580106,0.012972784,0.016201602,0.012838515"
"0.0014874517,0.026998097,0.016116448,0.02427778,0.021014951"
"0.010588762,0.025972476,0.021105794,0.035626635,0.08074141"
"7.4460405e-07,0.0014158661,0.0029051453,0.005272789,0.0012727502"
